busbreakdown_id,school_year,year,month,day_of_week,hour,time_band,season,is_weekend,operator,operator_id,boro,boro_id,run_type,reason,reason_id,school_age,students_on_bus,notified_schools,notified_parents,alerted_opt,delay_minutes,on_time,incident_type,is_breakdown,occurred_ts
2017833,2025-2026,2025,9,2,7,AM_Peak,Autumn,0,LEESEL TRANSPORTATION CORP,42949672960,Nassau County,51539607552.0,Special Ed AM Run,Problem Run,25769803777.0,School-Age,0,0,0,0,23.0,0,Running Late,0,2025-09-29 07:00:00
2065773,2025-2026,2026,3,3,7,AM_Peak,Spring,0,PRIDE TRANSPORTATION,25769803777,Brooklyn,8589934592.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,13,1,1,0,75.5,0,Running Late,0,2026-03-03 07:51:00
2067496,2025-2026,2026,3,2,6,AM_Peak,Spring,0,ALLIED TRANSIT CORP,17179869186,Brooklyn,8589934592.0,General Ed AM Run,Heavy Traffic,51539607552.0,School-Age,3,0,0,0,23.0,0,Running Late,0,2026-03-09 06:04:00
2056659,2025-2026,2026,2,4,7,AM_Peak,Winter,0,PIONEER TRANSPORTATION CORP,25769803776,Staten Island,34359738368.0,General Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,0,0,0,38.0,0,Running Late,0,2026-02-04 07:30:00
2048047,2025-2026,2026,1,5,7,AM_Peak,Winter,0,LEESEL TRANSPORTATION CORP,42949672960,Bronx,60129542144.0,Special Ed AM Run,Problem Run,25769803777.0,School-Age,0,0,0,0,23.0,0,Running Late,0,2026-01-15 07:30:00
2073415,2025-2026,2026,3,5,13,Midday,Spring,0,PRIDE TRANSPORTATION,25769803777,Queens,51539607553.0,Special Ed PM Run,Heavy Traffic,51539607552.0,School-Age,0,1,0,0,75.5,0,Running Late,0,2026-03-26 13:18:00
2093362,2025-2026,2026,6,5,6,AM_Peak,Summer,0,LEESEL TRANSPORTATION CORP,42949672960,Nassau County,51539607552.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,0,0,0,23.0,0,Running Late,0,2026-06-11 06:30:00
2078335,2025-2026,2026,4,4,6,AM_Peak,Spring,0,VAN TRANS LLC,8589934594,Bronx,60129542144.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,1,1,0,0.0,1,Running Late,0,2026-04-22 06:00:00
2073768,2025-2026,2026,3,6,7,AM_Peak,Spring,0,"DON THOMAS BUSES, INC",42949672962,Bronx,60129542144.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,3,1,1,0,0.0,1,Running Late,0,2026-03-27 07:40:00
2027284,2025-2026,2025,10,6,5,OffPeak,Autumn,0,PRIDE TRANSPORTATION,25769803777,Brooklyn,8589934592.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,1,1,0,75.5,0,Running Late,0,2025-10-31 05:20:00
2089280,2025-2026,2026,5,3,6,AM_Peak,Spring,0,LORISSA BUS SERVICE INC,34359738372,Queens,51539607553.0,General Ed AM Run,Mechanical Problem,34359738368.0,School-Age,0,0,0,0,,0,Breakdown,1,2026-05-26 06:42:00
2043811,2025-2026,2025,12,3,7,AM_Peak,Winter,0,"DON THOMAS BUSES, INC",42949672962,Bronx,60129542144.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,2,1,1,0,0.0,1,Running Late,0,2025-12-23 07:25:00
2071591,2025-2026,2026,3,2,5,OffPeak,Spring,0,PRIDE TRANSPORTATION,25769803777,Brooklyn,8589934592.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,1,1,0,75.5,0,Running Late,0,2026-03-23 05:28:00
2021243,2025-2026,2025,10,6,6,AM_Peak,Autumn,0,"DON THOMAS BUSES, INC",42949672962,Bronx,60129542144.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,1,1,0,0.0,1,Running Late,0,2025-10-10 06:14:00
2080948,2025-2026,2026,4,4,14,PM_Peak,Spring,0,NYC SCHOOL BUS UMBRELLA SERVICES,25769803778,Queens,51539607553.0,Special Ed PM Run,Heavy Traffic,51539607552.0,School-Age,0,1,0,1,0.0,1,Running Late,0,2026-04-29 14:11:00
2096054,2025-2026,2026,6,4,7,AM_Peak,Summer,0,HOYT TRANSPORTATION CORP,60129542145,Queens,51539607553.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,6,1,1,0,23.0,0,Running Late,0,2026-06-24 07:36:00
2064635,2025-2026,2026,2,6,7,AM_Peak,Winter,0,PIONEER TRANSPORTATION CORP,25769803776,Staten Island,34359738368.0,General Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,0,0,0,38.0,0,Running Late,0,2026-02-27 07:20:00
2023714,2025-2026,2025,10,3,13,Midday,Autumn,0,PRIDE TRANSPORTATION,25769803777,Queens,51539607553.0,Special Ed PM Run,Heavy Traffic,51539607552.0,School-Age,0,1,0,0,75.5,0,Running Late,0,2025-10-21 13:16:00
2028284,2025-2026,2025,11,4,5,OffPeak,Autumn,0,PRIDE TRANSPORTATION,25769803777,Queens,51539607553.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,1,1,0,75.5,0,Running Late,0,2025-11-05 05:10:00
2036420,2025-2026,2025,12,4,6,AM_Peak,Winter,0,PHILLIPS BUS SERVICE,51539607554,Bronx,60129542144.0,Pre-K/EI,Heavy Traffic,51539607552.0,PreK,3,1,1,1,38.0,0,Running Late,0,2025-12-03 06:45:00
2080963,2025-2026,2026,4,4,14,PM_Peak,Spring,0,NYC SCHOOL BUS UMBRELLA SERVICES,25769803778,Queens,51539607553.0,Special Ed AM Run,Other,25769803776.0,School-Age,0,1,0,1,38.0,0,Running Late,0,2026-04-29 14:27:00
2022581,2025-2026,2025,10,5,7,AM_Peak,Autumn,0,MAR-CAN TRANSPORT CO. INC,1,Westchester,42949672961.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,5,0,0,0,38.0,0,Running Late,0,2025-10-16 07:31:00
2010519,2025-2026,2025,9,3,14,PM_Peak,Autumn,0,I & Y TRANSIT CORP,8589934595,Queens,51539607553.0,Pre-K/EI,Heavy Traffic,51539607552.0,PreK,0,0,0,0,38.0,0,Running Late,0,2025-09-02 14:30:00
2067072,2025-2026,2026,3,6,6,AM_Peak,Spring,0,CAREFUL BUS,17179869187,Nassau County,51539607552.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,1,0,0,0,23.0,0,Running Late,0,2026-03-06 06:30:00
2049368,2025-2026,2026,1,4,13,Midday,Winter,0,LEESEL TRANSPORTATION CORP,42949672960,Manhattan,42949672960.0,Special Ed PM Run,Problem Run,25769803777.0,School-Age,0,1,0,0,53.0,0,Running Late,0,2026-01-21 13:00:00
2062423,2025-2026,2026,2,3,8,AM_Peak,Winter,0,CAREFUL BUS,17179869187,Manhattan,42949672960.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,0,0,0,23.0,0,Running Late,0,2026-02-24 08:00:00
2066948,2025-2026,2026,3,6,5,OffPeak,Spring,0,PRIDE TRANSPORTATION,25769803777,Queens,51539607553.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,1,1,0,75.5,0,Running Late,0,2026-03-06 05:20:00
2066832,2025-2026,2026,3,5,9,AM_Peak,Spring,0,PRIDE TRANSPORTATION,25769803777,Brooklyn,8589934592.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,3,0,0,0,75.5,0,Running Late,0,2026-03-05 09:00:00
2080207,2025-2026,2026,4,3,6,AM_Peak,Spring,0,L & M BUS CORP,34359738368,Brooklyn,8589934592.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,1,1,0,75.5,0,Running Late,0,2026-04-28 06:10:00
2053449,2025-2026,2026,1,5,8,AM_Peak,Winter,0,ALL AMERICAN SCHOOL BUS CORP,8589934593,Nassau County,51539607552.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,1,1,0,0.0,1,Running Late,0,2026-01-29 08:11:00
2079135,2025-2026,2026,4,5,13,Midday,Spring,0,PRIDE TRANSPORTATION,25769803777,Queens,51539607553.0,Special Ed PM Run,Heavy Traffic,51539607552.0,School-Age,0,1,0,0,75.5,0,Running Late,0,2026-04-23 13:11:00
2067090,2025-2026,2026,3,6,6,AM_Peak,Spring,0,"BORO TRANSIT, INC",51539607553,Nassau County,51539607552.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,1,0,0,23.0,0,Running Late,0,2026-03-06 06:35:00
2088526,2025-2026,2026,5,5,7,AM_Peak,Spring,0,"DON THOMAS BUSES, INC",42949672962,Bronx,60129542144.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,2,1,1,0,0.0,1,Running Late,0,2026-05-21 07:25:00
2078907,2025-2026,2026,4,5,6,AM_Peak,Spring,0,PHILLIPS BUS SERVICE,51539607554,Bronx,60129542144.0,Pre-K/EI,Heavy Traffic,51539607552.0,PreK,0,1,1,1,53.0,0,Running Late,0,2026-04-23 06:35:00
2011848,2025-2026,2025,9,2,8,AM_Peak,Autumn,0,MAR-CAN TRANSPORT CO. INC,1,Westchester,42949672961.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,6,0,0,0,53.0,0,Running Late,0,2025-09-08 08:11:00
2048085,2025-2026,2026,1,5,13,Midday,Winter,0,"G.V.C., LTD",2,Bronx,60129542144.0,Pre-K/EI,Other,25769803776.0,PreK,0,1,1,0,23.0,0,Running Late,0,2026-01-15 13:19:00
